office,impact,outcome,indicateurs,baseline,cible,2022
Adamaoua,Protection,Access & Documentation,# of PoC registered on an individual basis with minimum set of data required,135158,160446,135031
Adamaoua,Protection,Access & Documentation,# of refugee ID cards issued by authorities in the country of asylum,,221894,4527
Adamaoua,Protection,Access & Documentation,# of persons of concern provided individual documentation,109312,97592,71977
Adamaoua,Protection,Status,# International instruments on prevention of statelessness have been ratified (yes/no),Yes,Yes,No
Adamaoua,Protection,Status,# support mission of MINREX/ST in far north for RSD cases treatment,0,2,2
Adamaoua,Protection,Status,# of individuals seeking international protection who are able to access asylum procedures,4126,0,0
Adamaoua,Protection,Status,# of PoC having obtained a birth certificate,,,
Adamaoua,Protection,Justice,# of persons in need of legal assistance receiving legal advice and representation (including for GBV incidents),1504,645,259
Adamaoua,Assistance,Support,# of vehicule in service,,,
Adamaoua,Assistance,Support,# Stock rotation rate (Shelf life is aligned with HQ recommandations (Yes/No/Partial),?,Yes,Partial
Adamaoua,Assistance,Health,# Children under 5 with severe acute malnutrition (SAM),<10%,<10%,12%
Adamaoua,Assistance,Health,# Prevalence of severe acute malnutrition treated each year in targeted areas (UNSDCF),76,00%,83,00%,86,00%
Adamaoua,Assistance,Health,# Pregnant women and nursing mother with acute malutrinution (SAM&MAM),?,?,25%
Adamaoua,Assistance,Health,# Access of PoC to national/government primary health care facilities ensured (yes/no),Yes,Yes,Yes
Adamaoua,Assistance,Health,# of new consultations to health facilties during reporting period,,273422,1346
Adamaoua,Assistance,Health,# of persons referred to secondary and tertiary medical care,,15919,6012
Adamaoua,Assistance,Health,# of persons referred to secondary and tertiary health facilities,,332,102
Adamaoua,Assistance,Health,# of PoCs with access to MHPSS (Mental Health Psychosocial Services),,1828,1254
Adamaoua,Assistance,Health,# Epi vaccination coverage status (DPT completion rate),,13527,5203
Adamaoua,Assistance,Health,# of delivery assisted by skills health personel,,5047,4552
Adamaoua,Assistance,Health,# Rate of infant HIV testing among women living with HIV,,77,6
Adamaoua,Assistance,Health,# Number of pregnant women diagnosed with HIV inititated into treatment,,88,0
Adamaoua,Assistance,Health,# Number of women in reproductive age subscribed to a family planning method,,9393,4309
Adamaoua,Assistance,Health,# community health workers active,,438,106
Adamaoua,Assistance,Education,# of refugee children enrolled in nationally recognized primary schools,16135,622,50837
Adamaoua,Assistance,Education,# of refugee children and youth enrolled in nationally recognized secondary schools,988,6244,4206
Adamaoua,Assistance,Education,# of refugee children and youth from vulnerable families having benefited from CBI to access or continue their education,3122,2992,2992
Adamaoua,Assistance,WASH,% of households having an improved latrines,62,00%,62,00%,62,00%
Adamaoua,Assistance,WASH,# of persons of concern per drop-hole in communal latrine,24,20,24
Adamaoua,Assistance,WASH,# of Persons per hygiene promoters trained,950,1300,1011
Adamaoua,Assistance,WASH,# Average of litres of potable water available per person per day,15,00%,17,00%,16,00%
Adamaoua,Assistance,WASH,# of persons of concern per water tap / hand pump,460,375,385
Adamaoua,Assistance,Children,# Of children at risk identified (including unaccompanied and separated children),,,
Adamaoua,Assistance,Children,# of IP sta and ocials trained,,,
Adamaoua,Assistance,Children,# of children at risk (including unaccompanied and separated children) for whom BID was initiated (conducted),463,830,344
Adamaoua,Assistance,Children,# of child protection actions that are led by community members, including children,,,
Adamaoua,Assistance,Children,# Nombre de mécanismes communautaires mis en œuvre et qui sont fonctionnels,,,
Adamaoua,Assistance,Children,# of panel DIS conducted,,8,3
Adamaoua,Assistance,Well-being,% of food assistance distributions in which the composition of the food basket meets the recommendations of the latest needs assessment including a JAM,,,
Adamaoua,Assistance,Well-being,# of coordination meeting organized in the refugee camp,,,
Adamaoua,Assistance,Well-being,% of camps/settlements with a camp manager/administrator,,,
Adamaoua,Assistance,Well-being,# of households/PoCs receiving core relief items in kind or cash,,,
Adamaoua,Assistance,Well-being,% of women with sanitary supplies in kind or cash,,,
Adamaoua,Assistance,Well-being,# of campaigns conducted,,,
Adamaoua,Assistance,Well-being,# of person reach through campaigns conducted,,,
Adamaoua,Assistance,Well-being,# Extent local communities support continued presence of persons of concern,,,
Adamaoua,Assistance,Well-being,# of PoC with disabilities receiving specific support in -kind or Cash,,,
Adamaoua,Assistance,Well-being,# of new PSN identified and follow-up),,,
Adamaoua,Assistance,Housing,# PoC having access to services,,,
Adamaoua,Assistance,Housing,# PoC living on durable settlement,,,
Adamaoua,Assistance,Housing,# of PoC receiving emergency shelter (in-kind or Cash),,,
Adamaoua,Assistance,Housing,# of PoC receiving Transitional shelter (in-kind or Cash),,,
Adamaoua,Assistance,Housing,# of PoC receiving durable shelter (in-kind or Cash),,,
Adamaoua,Assistance,Housing,# of household using alternative and/or renewable energy (e.g solar, biogas, ethanol, environmentally friendly briquet, wind),,,
Adamaoua,Assistance,Housing,% of households with access to electricity/lighting,,,
Adamaoua,Assistance,Housing,# of demonstration sessions organized,,,
Adamaoua,Assistance,Housing,% of household trained on energy saving practices,,,
Adamaoua,Assistance,Housing,% of households receving environmental awarness and benefitting from, protected environment,,,
